id,source_section,baseline_en,baseline_cn,extension_en,extension_cn,module,test,status,boundary
B01,1.1 / 1.3,Task success beyond HTTP status,任务成功不能由HTTP状态推断,Output/node/trajectory audits plus an independently named outcome record.,输出、节点、轨迹之外增加具名结果观察。,evaluators.py,EvaluationTests.test_failed_outcome,IMPLEMENTED,No independent trust in an arbitrary submitted observer.
B02,2.1,Quality / Cost / Safety plus system health,保留系统健康及质量、成本、安全,Separate assurance coordinates; hard violations cannot be offset by quality or savings.,独立结算各维度；质量或节省不能抵消硬约束违规。,evaluators.py,EvaluationTests.test_unauthorized_tool_blocks,IMPLEMENTED,Does not replace infrastructure monitoring collectors.
B03,2.4,Golden and Badcase dataset quality,Golden与Badcase数据质量,"Frozen manifests, exact cross-split hashes and provenance-group leakage checks.",冻结清单，检查跨分区精确重复和来源组泄漏。,contracts.py,ContractsTests.test_group_leakage,IMPLEMENTED,No semantic near-duplicate or pretraining-contamination detector.
B04,2.4,Anomaly-prioritized plus random sampling,异常优先与随机基准采样,"Display unweighted result, inverse-inclusion weighted ratio and unknown sampling design.",分开报告原始比例、逆入选概率加权结果与未知采样设计。,stats.py,ExtensionTests.test_weighted_sampling,IMPLEMENTED,No invented population CI when the sampling design is unspecified.
B05,3.1–3.3,"Outcome, node and trajectory granularity",结果、节点、轨迹三级粒度,"Executable declared checks, tool scopes, lineage namespaces and outcome postconditions.",执行性断言、工具范围、记忆命名空间及结果后置条件。,evaluators.py,EvaluationTests.test_memory_other_namespace,IMPLEMENTED,No universal semantic correctness detector.
B06,3.3,Parallel evaluation and aggregation,并行评估与聚合,No aggregate acceptance score. Advisory judge disagreement stays visible; local execution is sequential.,不生成综合准入分；保留Judge分歧；当前执行为顺序模式。,stats.py / harness.py,StatsTests.test_panel_disagreement,PARTIAL,Distributed asynchronous scheduler is not implemented.
B07,4.2–4.3,Judge alignment and meta-evaluation,Judge对齐与自身评估,"Confusion, abstention, conditional error intervals, Brier and family metadata.",混淆矩阵、弃权、条件误差区间、Brier与模型家族元数据。,stats.py,StatsTests.test_judge_abstentions,IMPLEMENTED,Calibration consumes supplied judgments; no live model calls or automatic judge training.
B08,5.1–5.2,OTel and eight span categories,OTel及八类Span,Subset OTLP/JSON adapter with mapping-loss report; no hidden CoT collection.,OTLP/JSON子集适配及映射损失说明；不采集隐藏思维链。,telemetry.py / contracts.py,ContractsTests.test_otel_import_content_minimization,PARTIAL,"Not a collector, full OTLP exporter or semantic-conventions certification."
B09,6.1,Six-layer architecture,六层评估架构,"New explicit evidence-to-outcome planes, without inventing the missing source diagram.",独立提出证据到结果的架构平面，不补造附件缺图。,docs/report_en.md,Source audit,SOURCE_GAP,"The supplied section contains an image placeholder, not readable six-layer definitions."
B10,6.2,skill.md / cases / checks / config,Skill契约四件套,Human-editable scaffold and strict executable project.json; declarative check allowlist.,可审阅脚手架与严格project.json；仅执行白名单声明式检查。,cli.py / contracts.py,ContractsTests.test_unknown_check,PARTIAL,No conversational test generation and no arbitrary checks.py execution.
B11,6.3,Cross-carrier Skill ON/OFF,跨载体Skill开关对照,Execute paired cases and all trials; reset local state; retain errors/timeouts; group bootstrap.,真实运行配对案例及重复试验；重置本地状态；保留错误与超时；按组重采样。,harness.py / adapters.py / stats.py,StatsTests.test_repeats_not_new_units,IMPLEMENTED,"Built-ins are toy Python/SQLite carriers, not frontier LLM benchmarks."
B12,3.3 / 6.3,What caused improvement?,改善是否真由组件带来,Finite controlled read-removal intervention and no-effect memory-metadata negative control.,有限环境的读取能力移除实验，以及无效果的记忆元数据负对照。,causal.py,ExtensionTests.test_causal_negative_control,IMPLEMENTED,Cannot infer general causal necessity from this constructed environment.
B13,7.1,Offline / online dual loop,离线与在线双环,"Recorded observations feed quarantined proposals, local rollout states and signed outcome events.",观察记录进入隔离提案、本地发布状态及签名结果事件。,feedback.py / lifecycle.py,LifecycleTests.test_full_path_and_harm_rollback,IMPLEMENTED,No production traffic connector or automatic live deployment/rollback.
B14,7.2,Automatic knowledge repair,知识自动修复,Evidence correction reopens dependent claims/reports/releases while independent branches persist.,证据纠正重新打开依赖主张、报告与发布；保留无关分支。,lineage.py,ExtensionTests.test_descendants_reopen_independent_preserved,IMPLEMENTED,Creates review annotations; does not automatically fabricate replacement knowledge.
B15,7.3,Prompt self-iteration,Prompt自反馈迭代,Failure proposals preserve source and cannot rewrite test labels; new versions require review.,失败提案保留来源且不能改写测试标签；新版本必须复核。,feedback.py,ExtensionTests.test_no_automatic_new_truth,PARTIAL,No prompt optimizer or model fine-tuning is included.
B16,Conclusion,CI eval gate and evolution,CI门禁及持续进化,"CI tests, frozen artifact-bound gates, separate approvals, expiry and locally reversible registry.",CI测试、绑定构件的评估门禁、独立批准、有效期与本地可回退状态。,lifecycle.py / harness.py,LifecycleTests.test_candidate_artifact_binding,IMPLEMENTED,Shared-key holder is the local trust root; no verified human identity or production attestation.
